[114.82130633]220.06968940385767[[1010235.08128014]]223[[ 25.4111794  242.57382906]](array([[ 9.99894559e-07, -1.13652493e-04],
       [-1.13652493e-04,  1.75941810e-02]]),)[[26193153.91412879]]223
[113.42690497]215.06968940385767[[991272.89094734]]218[[ 25.24664884 256.46397139]](array([[ 1.01883638e-06, -1.14419886e-04],
       [-1.14419886e-04,  1.76283736e-02]]),)[[27680306.20410539]]218
[107.53633878]198.06968940385767[[864943.3909916]]201[[ 26.26328438 220.54365326]](array([[ 1.16622203e-06, -1.24321970e-04],
       [-1.24321970e-04,  1.84181039e-02]]),)[[29443219.60593177]]201
[102.00882842]179.06968940385767[[764371.42040409]]182[[ 27.11945732 178.71514879]](array([[ 1.31841177e-06, -1.33449390e-04],
       [-1.33449390e-04,  1.91975073e-02]]),)[[22381341.0265577]]182
[88.00409021]136.06968940385767[[524503.35646233]]139[[ 27.83679638 203.43684707]](array([[ 1.91720792e-06, -1.67790073e-04],
       [-1.67790073e-04,  2.21144927e-02]]),)[[15030968.36734344]]139
[767.77117072]174.06968940385767[[1177778.71139598]]177[[    9.07645992 -4950.6191596 ]](array([[ 8.78629117e-07, -6.67120441e-04],
       [-6.67120441e-04,  5.18105776e-01]]),)[[6.42558292e+09]]177
[766.6871957]175.06968940385767[[1207886.10142462]]178[[    8.69755204 -4644.13082478]](array([[ 8.56425548e-07, -6.49148719e-04],
       [-6.49148719e-04,  5.03565539e-01]]),)[[6.43063214e+09]]178
[765.68759377]175.06968940385767[[1245130.68958135]]178[[    7.15863838 -3404.7841278 ]](array([[ 8.30500605e-07, -6.28445623e-04],
       [-6.28445623e-04,  4.87059285e-01]]),)[[6.46371276e+09]]178
[765.43626528]175.06968940385767[[1261666.13937946]]178[[    8.77192294 -4721.60231381]](array([[ 8.19503651e-07, -6.19819202e-04],
       [-6.19819202e-04,  4.80296215e-01]]),)[[6.41722903e+09]]178
[763.4434198]177.06968940385767[[1335330.43036355]]180[[    9.11497797 -5005.72202997]](array([[ 7.73849889e-07, -5.83338211e-04],
       [-5.83338211e-04,  4.51134410e-01]]),)[[6.39583718e+09]]180
