[786.5417007]218.06968940385767[[1086560.15615749]]221[[    6.0359563  -2221.11785218]](array([[ 9.33788559e-07, -7.26672538e-04],
       [-7.26672538e-04,  5.76203839e-01]]),)[[8.14811279e+09]]221
[779.29172477]218.06968940385767[[1243715.80183274]]221[[    6.62240552 -2551.64877818]](array([[ 8.16513253e-07, -6.28572161e-04],
       [-6.28572161e-04,  4.94477357e-01]]),)[[8.07313196e+09]]221
[778.0919094]225.06968940385767[[1294480.76140207]]228[[    6.87735516 -2823.65881506]](array([[ 7.84766749e-07, -6.02898148e-04],
       [-6.02898148e-04,  4.73600044e-01]]),)[[8.12131304e+09]]228
[771.1666473]229.06968940385767[[1517562.32012722]]232[[    4.89837594 -1086.76675372]](array([[ 6.70491346e-07, -5.09396464e-04],
       [-5.09396464e-04,  3.97233038e-01]]),)[[8.01595646e+09]]232
[777.66533946]219.06968940385767[[1316362.12734534]]222[[   4.70824534 -957.01572868]](array([[ 7.71842747e-07, -5.92517606e-04],
       [-5.92517606e-04,  4.65392404e-01]]),)[[8.01587822e+09]]222
