[306.68581503]138.06968940385767[[446773.37261952]]141[[  -25.54533586 11487.41895165]](array([[ 2.26935810e-06, -6.93188497e-04],
       [-6.93188497e-04,  2.19921874e-01]]),)[[24519654.17885781]]141
[310.81744106]135.06968940385767[[435363.6506133]]138[[  -24.61358737 11264.05515075]](array([[ 2.32989721e-06, -7.21358418e-04],
       [-7.21358418e-04,  2.31709487e-01]]),)[[25500951.66475583]]138
[310.66956229]126.06968940385765[[365253.38675111]]129[[  -25.71792441 11600.958135  ]](array([[ 2.78048047e-06, -8.61079792e-04],
       [-8.61079792e-04,  2.75564502e-01]]),)[[21591338.1096964]]129
[307.24447471]117.06968940385765[[295028.00477418]]120[[  -25.64266409 11578.7018345 ]](array([[ 3.44832815e-06, -1.05690280e-03],
       [-1.05690280e-03,  3.33426741e-01]]),)[[22418764.49030615]]120
[303.67312444]132.06968940385767[[400235.24112421]]135[[  -24.57087408 11172.30801142]](array([[ 2.53419339e-06, -7.66847465e-04],
       [-7.66847465e-04,  2.40543172e-01]]),)[[28384604.23869539]]135
